PRIORITY: 100, START TIME: 2024-06-18T21:42:43.741656, END TIME: 2024-06-18T21:42:43.743653, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:42:43.741656, END TIME: 2024-06-18T21:42:43.743653, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:42:43.741656, END TIME: 2024-06-18T21:42:43.743653, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:42:43.741656, END TIME: 2024-06-18T21:42:43.743653, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:42:43.741656, END TIME: 2024-06-18T21:42:43.743653, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:43:57.135175, END TIME: 2024-06-18T21:43:57.137502, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:43:57.135175, END TIME: 2024-06-18T21:43:57.137502, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:43:57.135175, END TIME: 2024-06-18T21:43:57.137502, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:43:57.135175, END TIME: 2024-06-18T21:43:57.137502, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:43:57.135175, END TIME: 2024-06-18T21:43:57.137502, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:45:02.682462, END TIME: 2024-06-18T21:45:02.684578, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:45:02.682462, END TIME: 2024-06-18T21:45:02.684578, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:45:02.682462, END TIME: 2024-06-18T21:45:02.684578, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:45:02.682462, END TIME: 2024-06-18T21:45:02.684578, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:45:02.682462, END TIME: 2024-06-18T21:45:02.684578, TIME TAKEN: 2 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:45:09.137994, END TIME: 2024-06-18T21:45:09.140393, TIME TAKEN: 3 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:45:09.137994, END TIME: 2024-06-18T21:45:09.140393, TIME TAKEN: 3 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:45:09.137994, END TIME: 2024-06-18T21:45:09.140393, TIME TAKEN: 3 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:45:09.137994, END TIME: 2024-06-18T21:45:09.140393, TIME TAKEN: 3 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
PRIORITY: 100, START TIME: 2024-06-18T21:45:09.137994, END TIME: 2024-06-18T21:45:09.140393, TIME TAKEN: 3 ms, MESSAGE: This is a txt file logger test, FROM: test_nspace
